ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE	ORIGINAL_ALIGNMENT	ORIGINAL_TOKENS	ORIGINAL_STRUCTURE
2554	Guixian	on purpose	刁意	tjaoiao⁵⁵i²¹³	i ²¹³		59	545	- - - i ²¹³	V T	t j a o i a o ⁵⁵ - - - - i ²¹³	t j a o i a o ⁵⁵ i ²¹³	C C V V V V V T V T
2557	Hefei	on purpose	故意	ku⁵³zɿ	k u ⁵³ ɿ		59	545	k u ⁵³ ɿ -	C V T V	- - - - - - - - k u ⁵³ z ɿ -	k u ⁵³ z ɿ	C V T C V
2572	Kunming	on purpose	故意	ku²¹²i²¹²	k u ²¹² i ²¹²		59	545	k u ²¹² i ²¹²	C V T V T	- - - - - - - - k u ²¹² - i ²¹²	k u ²¹² i ²¹²	C V T V T
2549	Meixian	on purpose	故意	ku⁵³i⁵³	k u ⁵³ i ⁵³		59	545	k u ⁵³ i ⁵³	C V T V T	- - - - - - - - k u ⁵³ - i ⁵³	k u ⁵³ i ⁵³	C V T V T
2567	Taiyuan	on purpose	故意	ku⁴⁵i⁴⁵	k u ⁴⁵ i ⁴⁵		59	545	k u ⁴⁵ i ⁴⁵	C V T V T	- - - - - - - - k u ⁴⁵ - i ⁴⁵	k u ⁴⁵ i ⁴⁵	C V T V T
2555	Xiamen	on purpose	刁故意	tʰjawiau⁵⁵kɔ²¹i²¹	k ɔ ²¹ i ²¹		59	545	k ɔ ²¹ i ²¹	C V T V T	tʰ j a w i a u ⁵⁵ k ɔ ²¹ - i ²¹	tʰ j a w i a u ⁵⁵ k ɔ ²¹ i ²¹	C C V C V V V T C V T V T
2550	Meixian	on purpose	有意	ju⁴⁴i⁵³	j u ⁴⁴ i ⁵³		808	723	j u ⁴⁴ i ⁵³	C V T V T	- j u ⁴⁴ i ⁵³	j u ⁴⁴ i ⁵³	C V T V T
2573	Shanghai	on purpose	有意	ɦjɤ¹³i⁵³	j ɤ ¹³ i ⁵³		808	723	j ɤ ¹³ i ⁵³	C V T V T	ɦ j ɤ ¹³ i ⁵³	ɦ j ɤ ¹³ i ⁵³	C C V T V T
2569	Shexian	on purpose	有意	ju³⁵i³²⁴	j u ³⁵ i ³²⁴		808	723	j u ³⁵ i ³²⁴	C V T V T	- j u ³⁵ i ³²⁴	j u ³⁵ i ³²⁴	C V T V T
2588	Beijing	one	一	i⁵⁵	i ⁵⁵		637	584	i - ⁵⁵	V T	- - i - ⁵⁵	i ⁵⁵	V T
2577	Changsha	one	一	i²⁴	i ²⁴		637	584	i - ²⁴	V T	- - i - ²⁴	i ²⁴	V T
2585	Chengdu	one	一	i³¹	i ³¹		637	584	i - ³¹	V T	- - i - ³¹	i ³¹	V T
2583	Guangzhou	one	一	jɐt⁵	ɐ t ⁵		637	584	ɐ t ⁵	V C T	- j ɐ t ⁵	j ɐ t ⁵	C V C T
2578	Guixian	one	一	i²¹	i ²¹		637	584	i - ²¹	V T	- - i - ²¹	i ²¹	V T
2582	Hangzhou	one	一	ʔjəʔ⁵	ə ʔ ⁵		637	584	ə ʔ ⁵	V C T	ʔ j ə ʔ ⁵	ʔ j ə ʔ ⁵	C C V C T
2580	Hefei	one	一	jəʔ⁵	ə ʔ ⁵		637	584	ə ʔ ⁵	V C T	- j ə ʔ ⁵	j ə ʔ ⁵	C V C T
2581	Jinan	one	一	i²¹³	i ²¹³		637	584	i - ²¹³	V T	- - i - ²¹³	i ²¹³	V T
2589	Kunming	one	一	i³¹	i ³¹		637	584	i - ³¹	V T	- - i - ³¹	i ³¹	V T
2576	Meixian	one	一	it¹	i t ¹		637	584	i t ¹	V C T	- - i t ¹	i t ¹	V C T
2584	Nanchang	one	一	iʔ⁵	i ʔ ⁵		637	584	i ʔ ⁵	V C T	- - i ʔ ⁵	i ʔ ⁵	V C T
2590	Shanghai	one	一	jɪʔ	ɪ ʔ		637	584	ɪ ʔ -	V C	- j ɪ ʔ -	j ɪ ʔ	C V C
2587	Shexian	one	一	iʔ²¹	i ʔ ²¹		637	584	i ʔ ²¹	V C T	- - i ʔ ²¹	i ʔ ²¹	V C T
2586	Taiyuan	one	一	jəʔ²	ə ʔ ²		637	584	ə ʔ ²	V C T	- j ə ʔ ²	j ə ʔ ²	C V C T
2579	Xiamen	one	一	it³²	i t ³²		637	584	i t ³²	V C T	- - i t ³²	i t ³²	V C T
1944	Guangzhou	one time	打一下	ha²³	h a ²³		655	600	h a ²³	C V T	h - a - ²³ - - - - -	h a ²³	C V T
1945	Taiyuan	one time	打一下	xa⁴⁵	x a ⁴⁵		655	600	x a ⁴⁵	C V T	x - a - ⁴⁵ - - - - -	x a ⁴⁵	C V T
2491	Beijing	only	只	t͡ʂʅ²¹⁴	ʈʂ ʅ ²¹⁴		597	551	ʈʂ ʅ ²¹⁴	C V T	ʈʂ ʅ - ²¹⁴	ʈʂ ʅ ²¹⁴	C V T
2476	Changsha	only	只	t͡ʂʅ⁴¹	ʈʂ ʅ ⁴¹		597	551	ʈʂ ʅ ⁴¹	C V T	ʈʂ ʅ - ⁴¹	ʈʂ ʅ ⁴¹	C V T
2487	Chengdu	only	只	ʦɿ⁵³	ts ɿ ⁵³		597	551	ts ɿ ⁵³	C V T	ts ɿ - ⁵³	ts ɿ ⁵³	C V T
