ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COG	COGID	ALIGNMENT	STRUCTURE
2414	Taiyuan	cheap	便宜	pʰje¹¹i⁴⁵	pʰ j e ¹¹ i ⁴⁵		73	661	pʰ j e - ¹¹ - i - ⁴⁵	C C V T V T
2405	Xiamen	cheap	便宜	pan³⁵gi³⁵	p a n ³⁵ g i ³⁵		73	661	p - a n ³⁵ g i - ³⁵	C V C T C V T
403	Beijing	chicken	母鸡	mu²¹⁴ʨi⁵⁵	m u ²¹⁴ tɕ i ⁵⁵		1127	110	m - u - - - - ²¹⁴ tɕ - i - ⁵⁵	C V T C V T
387	Guixian	chicken	母鸡	mu⁴²ʨi⁵⁵	m u ⁴² tɕ i ⁵⁵		1127	110	m - u - - - - ⁴² tɕ - i - ⁵⁵	C V T C V T
390	Hefei	chicken	母鸡	məŋ²⁴ʦɿ²¹	m ə ŋ ²⁴ ts ɿ ²¹		1127	110	m - ə - - - ŋ ²⁴ ts - ɿ - ²¹	C V C T C V T
392	Jinan	chicken	母鸡	mu⁵⁵ʨi	m u ⁵⁵ tɕ i		1127	110	m - u - - - - ⁵⁵ tɕ - i - -	C V T C V
404	Kunming	chicken	母鸡	mu⁵³ʨi⁴⁴	m u ⁵³ tɕ i ⁴⁴		1127	110	m - u - - - - ⁵³ tɕ - i - ⁴⁴	C V T C V T
406	Shanghai	chicken	母鸡	mu¹³ʨi⁵³	m u ¹³ tɕ i ⁵³		1127	110	m - u - - - - ¹³ tɕ - i - ⁵³	C V T C V T
401	Shexian	chicken	鸡母	ʨi³¹m̩³⁵	tɕ i ³¹ m̩ ³⁵		1127	110	tɕ - i - - - - ³¹ m̩ - - - ³⁵	C V T C T
388	Xiamen	chicken	鸡母	kwe⁵⁵bu	k w e ⁵⁵ b u		1127	110	k w e - - - - ⁵⁵ - b u - -	C C V T C V
384	Changsha	chicken	鸡婆	ʨi³³po¹³	tɕ i ³³ p o ¹³		1104	90	tɕ i ³³ p - o - ¹³	C V T C V T
399	Chengdu	chicken	鸡婆	ʨi⁵⁵pʰo³¹	tɕ i ⁵⁵ pʰ o ³¹		1104	90	tɕ i ⁵⁵ pʰ - o - ³¹	C V T C V T
394	Hangzhou	chicken	婆鸡	bo²¹³ʨi	b o ²¹³ tɕ i		1104	90	b o ²¹³ tɕ - i - -	C V T C V
397	Nanchang	chicken	鸡婆	ʨi⁴²pʰo²⁴	tɕ i ⁴² pʰ o ²⁴		1104	90	tɕ i ⁴² pʰ - o - ²⁴	C V T C V T
402	Shexian	chicken	鸡婆	ʨi³¹pʰo⁴⁴	tɕ i ³¹ pʰ o ⁴⁴		1104	90	tɕ i ³¹ pʰ - o - ⁴⁴	C V T C V T
386	Guixian	chicken	草鸡	ʦʰa⁴²ʨi⁵⁵	tsʰ a ⁴² tɕ i ⁵⁵		661	605	tsʰ a - ⁴² tɕ i ⁵⁵	C V T C V T
393	Jinan	chicken	草鸡	ʦʰɔ⁵⁵ʨi	tsʰ ɔ ⁵⁵ tɕ i		661	605	tsʰ ɔ - ⁵⁵ tɕ i -	C V T C V
400	Taiyuan	chicken	草鸡	ʦʰaw⁵³ʨi¹¹	tsʰ a w ⁵³ tɕ i ¹¹		661	605	tsʰ a w ⁵³ tɕ i ¹¹	C V C T C V T
555	Beijing	chimney	烟筒	jan⁵⁵tʰuŋ²	j a n ⁵⁵ tʰ u ŋ ²		538	511	j a n ⁵⁵ tʰ - u ŋ ²	C V C T C V C T
541	Changsha	chimney	烟筒	jẽ³³toŋ¹³	j ẽ ³³ t o ŋ ¹³		538	511	j ẽ - ³³ t - o ŋ ¹³	C V T C V C T
545	Jinan	chimney	烟筒	jã²¹³tʰuŋ	j ã ²¹³ tʰ u ŋ		538	511	j ã - ²¹³ tʰ - u ŋ -	C V T C V C
550	Nanchang	chimney	烟筒	jɛn⁴²tʰuŋ⁰²	j ɛ n ⁴² tʰ u ŋ ⁰²/¹²		538	511	j ɛ n ⁴² tʰ - u ŋ ⁰²/¹²	C V C T C V C T
553	Taiyuan	chimney	烟筒	je¹¹tʰwəŋ⁵³	j e ¹¹ tʰ w ə ŋ ⁵³		538	511	j e - ¹¹ tʰ w ə ŋ ⁵³	C V T C C V C T
543	Xiamen	chimney	烟筒	jan⁵⁵taŋ³⁵	j a n ⁵⁵ t a ŋ ³⁵		538	511	j a n ⁵⁵ t - a ŋ ³⁵	C V C T C V C T
551	Chengdu	chimney	烟囱	jan⁵⁵ʦʰoŋ⁵⁵	j a n ⁵⁵ tsʰ o ŋ ⁵⁵		307	320	- j a n ⁵⁵ tsʰ o ŋ ⁵⁵	C V C T C V C T
542	Guixian	chimney	烟囱	jan⁵⁵ʦʰoŋ⁵⁵	j a n ⁵⁵ tsʰ o ŋ ⁵⁵		307	320	- j a n ⁵⁵ tsʰ o ŋ ⁵⁵	C V C T C V C T
548	Hangzhou	chimney	烟囱	ʔjᴇ̃³³ʦʰoŋ³³	ʔ j ᴇ̃/ẽ̞ ³³ tsʰ o ŋ ³³		307	320	ʔ j ᴇ̃/ẽ̞ - ³³ tsʰ o ŋ ³³	C C V T C V C T
556	Kunming	chimney	烟囱	jɛ̃⁴⁴ʦʰoŋ⁴⁴	j ɛ̃ ⁴⁴ tsʰ o ŋ ⁴⁴		307	320	- j ɛ̃ - ⁴⁴ tsʰ o ŋ ⁴⁴	C V T C V C T
557	Shanghai	chimney	烟囱	i⁵³ʦʰoŋ⁵³	i ⁵³ tsʰ o ŋ ⁵³		307	320	- - i - ⁵³ tsʰ o ŋ ⁵³	V T C V C T
554	Shexian	chimney	烟囱	je³¹ʦʰʌ̃³¹	j e ³¹ tsʰ ʌ̃ ³¹		307	320	- j e - ³¹ tsʰ ʌ̃ - ³¹	C V T C V T
1135	Beijing	chopsticks	筷子	kʰwajuai⁵¹ʦɿ¹	kʰ w a j u a i ⁵¹ ts ɿ ¹		818	734	kʰ w a j u a i ⁵¹ ts ɿ - ¹	C C V C V V V T C V T
